Column 1,Column 2,Column 3,Column 4
RSM338H1 - Applications of Machine Learning in Finance,"This course provides an overview of the basic tools in data analysis and machine learning, with emphasis on their applications in finance. Data analysis and machine learning play an important role in FinTech. Individual investors and financial institutions who are able to leverage these new tools and technology will have a significant advantage. This course discusses these new opportunities and challenges. It seeks to equip students with these highly coveted skills in the market.","ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1);  CSC108H1/CSC148H1",
RSM340H1 - The Opposable Mind: Approaches to Integrative Thinking,"Beginning with an exploration of integrative thinking and the tools associated with it, this course asks students to apply integrative thinking to complex problems that span traditional disciplines. Throughout the course, students will learn practical tools aimed at helping integrate between models, build new models and create new value. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits.,RSM310H1
RSM341H1 - Model-Based Decision Making,"This course aims to introduce logically disciplined approaches to decision making under uncertainty. Managers are continually barraged with information that may be unreliable. They must choose courses of action in the face of many uncertainties. How can we define and assess the ""optimality"" of their decisions in a consistent manner? By building upon the answers to these questions, the course will consider the problem of rational choice when the outcome is determined by the actions of, and interactions between, multiple individuals. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","Completion of 9.0 credits, ECO204Y1/ECO206Y1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM350H1 - Marketing Management,"This course employs the case method of instruction to develop the skills required of marketing managers. Students will learn to diagnose marketing problems and develop, present, and defend their recommendations. They will also gain experience analyzing marketing situations, identifying market opportunities, developing marketing strategies, and designing the marketing mix. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM250H1,RSM251H1
RSM352H1 - Marketing Research,"Marketing research is studied from the perspective of the marketing manager. The course focuses on the initiation, design, and interpretation of research as an aid to marketing decision making. Case studies and projects are used to provide students with some practical research experiences. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM353H1 - Consumer Behaviour,"Formulating successful marketing strategies requires an understanding of consumers’ cultures, motivations, cognitions, and emotions. Students will learn how to use theoretical perspectives from psychology, economics, anthropology, and other disciplines to generate predictions about consumers, interpret consumer reactions to marketing stimuli, and develop rigorous skills in marketing analysis. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",,
RSM355H1 - Managing Customer Value,"This course builds on the foundation developed in RSM250H1 (Principles of Marketing) in a competitive simulation environment. While RSM250H1 focuses on the fundamental marketing elements for operationalizing this basic philosophy - segmentation, targeting, positions and 3 of the 4 Ps, this course is designed to advance a participant's understanding of designing and implementing marketing strategies and explore the management of the 4th P (promotion) in greater depth. In particular, participants will make decisions about all 4 Ps simultaneously and manage the interactions between them. Not eligible for CR/NCR.",RSM250H1 and completion of 9.0 credits,RSM310H1 - Managing Customer Value
RSM358H1 - Foundations of AI for Management,"Artificial intelligence — the application of machine-learning techniques to prediction problems historically performed by humans — is transforming business and society. This course provides a hands-on introduction to the wide variety of algorithms used in applications of machine-learning. The technical topics will include linear and non-linear regression models, classification algorithms, and more recent machine-learning techniques rooted in neuroscience like reinforcement learning and deep learning. Application topics will include predicting consumer choices, MLB salaries, and Super Mario Bros. There will be an emphasis on conceptual understanding, so that students can interpret the results of these techniques to support effective decision-making. The course will be complemented by many hands-on exercises using the R programming language.","ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1), CSC108H1/CSC148H1",
RSM361H1 - Human Resource Management,"Human resource management is studied from the perspective of the manager/practitioner. The course focuses on decisions about when and whom to hire, how much to pay, what training to offer, and how to evaluate employees. Class exercises and projects are used to provide students with some practical experience with these topics. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM260H1,RSM460H1
RSM362H1 - Leading Across Differences,This course makes linkages between a leader's stance and how strong preferences come to life and influence perspectives at the individual and organizational level. There is a deep exploration of one's knowledge system and a particular focus upon uncovering innovative frames around diversity that directly impact organizational strategy. Not eligible for CR/NCR option.,,
RSM370H1 - Supply Chain Management,Globalization increasingly intertwines the Canadian and world economies. Understanding how firms can successfully link with worldwide suppliers and markets is central to growth. Supply chain management issues covered include: advanced inventory and production models; supply contracts; the bullwhip effect; vendor-managed inventories; distribution strategies; third-party logistics; product variety; current information technology. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Completion of 9.0 credits,RSM311H1
RSM384H1 - Sports Analytics,"This course applies concepts of analytic management and data analysis to the sports world. The class is intended to deepen the students' ability to apply econometric skills from ECO220Y1. Particular emphasis is given to player management, ""on the field"" decisions and giving the students the opportunity to do their own analysis while learning frontier techniques. The class will introduce students to some basics of coding and econometric analysis in R. No prior coding experience is required, but basic coding will be necessary and the course provides students with new or deepened skills in that area.","ECO220Y1/​ECO227Y1/​(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM391H1 - Creative Destruction Lab – Introductory Course,"This course is suitable for students interested in pursuing careers in strategy, innovation, entrepreneurship, entrepreneurial finance, new product development, and economic development policy. The course will introduce students to a framework for developing an entrepreneurial strategy. This involves the key choices of customer, competition, technology and identity as well as whether ventures pursue a control versus execution focus. The course will also provide a discussion of intellectual property strategies for technology entrepreneurs.|As part of the preparation for the CDL Advanced course, this course will also introduce you to the business of artificial intelligence. You will explore what machine learning is, what its economic properties are, how it impacts on strategy, its risks and legal implications. As most ventures in the Toronto CDL have AI cores, this will be essential preparation for that as well as an introduction to AI in the real business world.|This course is a prerequisite for students wanting to apply for the Creative Destruction Lab (CDL) Advanced Course RSM2013Y/RSM498Y1 where students will have the opportunity to work directly with a CDL venture. Interested students should familiarize themselves with the Creative Destruction Lab and its various activities prior to registering for this course. You can find more information from our website at www.creativedestructionlab.com.",RSM392H1,
RSM392H1 - Strategic Management,"Introduces core ideas, concepts and models in the area of Strategic Management. Addresses the following questions: Why does firm performance vary across industries, and across firms within a given industry? What types of competitive strategies can managers pursue? When are different types of strategies more or less likely to be successful? Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM219H1; RSM222H1,
RSM393H1 - Strategic Case Analysis,"This course provides students with the opportunity to hone the critical skills of effective presentation, decisiveness and business acumen with a focus on learning-by-doing. Students will analyze and recommend solutions to business problems and develop abilities to present and defend recommendations in an impactful and effective manner. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM392H1,
RSM394H1 - Social Entrepreneurship,"In this course, students will learn how entrepreneurs create organizations that address social problems using innovative, sustainable approaches. Students will examine a variety of social venture forms and consider how such ventures can be evaluated, managed, and financed. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits,RSM318H1
MGT395Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM395Y0 - Special Topics,The areas of concentration depend on the instructor teaching the course. (Offered only during the summer through the Woodsworth Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT396Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM396Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT397Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM397Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT401H1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM401H1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
MGT402H1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM402H1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
MGT403Y1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM403Y1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM404Y1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM405H1 - The CEO's Toolkit,"A highly practical course designed for prospective Executives and the Professionals who will work with them. The course develops simple, powerful tools and strategies required to build, run, fix, change and evolve successful organizations. Lectures and case analysis integrate core management concepts from previous courses.",RSM222H1,
RSM410H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM411H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM412H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM413H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM414H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM415H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM416H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM417H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM418H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM419H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM420H1 - Advanced IT Audit and Data Analytics,"This course is an extension of the study of areas covered in the introductory audit course and will include the application of risk and materiality to more advanced topic areas with a focus on digitized information. Other topics include special reports, future-oriented financial information and prospectuses. The course will incorporate the use of data analytics in auditing and will explore how to analyze financial data in order to assist in audit engagements. Not eligible for CR/NCR.",RSM323H1,
RSM422H1 - Management Control,"This course considers the processes and systems, many accounting-based, by which key managers allegedly ensure that resources are acquired and used effectively and efficiently in the accomplishment of an organization’s goals. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM222H1,
RSM424H1 - Canadian Income Taxation II,"This course is designed to give the student an understanding of more complex issues of Canadian income tax law and tax planning. Included are topics, such as, computation of taxes, corporate reorganizations, business acquisitions and divestitures, partnerships, joint ventures and trusts, to name a few. The two course sequence (RSM324H1 and RSM424H1) has been designed to provide coverage of the tax content required by the professional accounting bodies. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM324H1,
RSM425H1 - Financial Reporting and Control: Theory and Contemporary Topics,"This course guides students to learn financial reporting theory and critically evaluate the research findings in accounting. It covers a broad range of topics such as information and measurement perspectives of accounting, agency theory and its implications and the role of network in management control. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM222H1, RSM332H1",
"RSM426H1 - Critical Thinking, Analysis and Decision Making","This is a capstone case course stressing the pervasive competencies and critical thinking skills required from Rotman Commerce graduates, professional accountants and advisors. The course integrates the technical and practical knowledge obtained in previous courses by applying this knowledge to case type situations. Aimed at students seeking an accounting designation. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","Completion of 14.0 credits, RSM222H1, RSM323H1, RSM324H1",
RSM428H1 - Analysis of Banking Financial Institutions and Instruments,"We analyze the financial statements of banks to learn about the risk and return of bank financial assets and financial liabilities. Topics covered include interest rate risk, credit risk, market risk, fair value accounting, securitizations, derivatives and hedging of the banking firm as reflected through bank financial statements. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM222H1, RSM333H1",
RSM429H1 - Financial Statement Analysis and Valuation,"This course is of interest to those pursuing a career where one needs to analyze financial statements ""intelligently"". This obviously includes those interested in finance related professions such as Investment Banking, Research and Investment Management.  Students interested in consulting and marketing will also find this course useful because of its approach that focuses on business analysis with tie-ins to corporate strategy. This is a capstone course for students completing the Financial Reporting and Control stream in the Accounting Specialist. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM222H1",
RSM430H1 - Fixed Income Securities,Describes important fixed income securities and markets. The course emphasizes traditional bond and term structure concepts crucial to understand the securities traded in these markets. Students are required to work in the Rotman Financial Research & Trading Lab to solve the assigned problems using real time data. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Rotman Commerce: RSM332H1; Actuarial Science: ACT349H1,
RSM432H1 - Risk Management for Financial Managers,"This course examines the ways in which risks are quantified and managed by financial institutions. The principal risks considered include market risk, credit risk and operational risk. The course also covers the evolution of bank regulation and the regulatory limits on risk taking. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM333H1,
RSM433H1 - Advanced Corporate Finance,"Applying fundamental finance ideas developed in RSM332H1 and RSM333H1 to real-life problems. The course will focus on business valuation and financial decisions in practical situations, on the assumption that students are already familiar with basic concepts from previous finance courses. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Rotman Commerce: RSM333H1; Actuarial Science: ACT349H1,
RSM434H1 - Financial Trading Strategies,This course will use finance theory applied with Excel applications to understand potential returns and risks inherent in particular investment/trading strategies. Learning-by-doing will be facilitated by simulation-based Rotman Interactive Trader cases focused on particular risks. This training will be analogous to using a flight simulator for learning to fly. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM332H1,RSM412H1
RSM435H1 - Futures and Options Markets,"This course covers the analysis of derivative instruments such as forwards, futures, swaps and options. By the end of the course, students will have good knowledge of how these contracts work, how they are used and how they are priced. A fee of $35 will be charged to your student account for software purchase. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, RSM332H1",
RSM437H1 - International Finance,"International financial markets, exchange rates, forward markets, interest rate parity. International dimensions of investment, including both portfolio and foreign direct investment. International dimensions of corporate finance, including valuation and the cost of capital of foreign investments. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Rotman Commerce: RSM333H1; Actuarial Science: ACT349H1,
RSM438H1 - Investing for Impact,"This course is designed to be an introduction to the field of impact investing - investments that seek to generate financial and social environmental returns. In this course, we will examine different models of impact investing in both emerging and developed markets, the life-cycle of impact investments, new financial instruments and more.","RSM222H1, RSM333H1",
RSM439H1 - Private Equity and Entrepreneurial Finance,"The primary objective of the course is to improve students’ ability to understand the concepts and institutions involved in private equity. The course will provide students with skill sets so they can analyze and understand private equity from multiple perspectives: the perspective of the individual/firm seeking and receiving private equity finance; the perspective of the private equity fund; and, the perspective of the limited partners that provide finance for private equity funds. Students will also learn how to build Leverage Buyout (LBO) models. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 14.0 credits; RSM333H1,
RSM450H1 - Marketing and Behavioural Economics,"What motivates consumers, investors, employees, and managers? In this highly interdisciplinary course, we will examine topics such as the role of emotions in decision-making, “irrational” patterns of how people think about products, money, or investments, and how expectations shape perceptions. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits,RSM418H1
RSM452H1 - Creativity and Business Innovation,"Creativity is identified as the most important skill business leaders need at all levels. As humans, we must first embrace and develop our creativity, and then use technology to creatively solve business problems. This course guides individuals to combine their thinking, knowledge and skills in imaginative ways, develop key creative behaviours and build personal and professional creative confidence. Through a combination of active lectures, immersive in-class and in-field activities along with online tutorials, you will engage in creative ways to see business problems and opportunities in new ways and develop solutions unseen and unimagined by others. Not eligible for CR/NCR.",RSM250H1 and completion of 14.0 credits,RSM414H1- Creativity for Business Innovation
RSM454H1 - Sales and Distribution Strategy,"Once you have a great product or service to sell, you need the right channel partners and strategies to bring your offering to the end-user. This course discusses what and how many intermediaries to partner with, partner roles and responsibilities, and how to stimulate high performance from channel partners.",RSM250H1,
RSM455H1 - Pricing,"Approaches pricing decision as an intersection of economics and psychology. Using product categories as diverse as financial services, healthcare, industrial products and consumer packaged goods, students study dynamic pricing, value pricing, price customization, price bundling and multi-part tariffs, menu costs and price stickiness, sales promotions, and pricing in two-sided markets. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM250H1,
RSM456H1 - Big Data and Marketing Analytics,"The course is designed to introduce students to tools used in marketing analytics. Companies have been collecting vast databases to aid them in making sound marketing decisions. Examples include retail scanner panel data which keeps track of customers’ purchase histories, loyalty-program data monitoring purchasing under different promotional environments, social network and online shopping history data. The course uses several marketing data sources to illustrate how to use statistical marketing models to evaluate the impacts of marketing-mix, and manage customer lifetime value. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",RSM411H1
RSM457H1 - Strategic Marketing Communication,"This course covers how marketers communicate with customers - knowledge that is useful to students both as a manager and a consumer. The course will introduce the foundation knowledge of marketing communications as well as new trends in non-traditional media including sponsorships, social media, and digital marketing.",RSM251H1/RSM350H1,
RSM458H1 - Branding Strategy,"Students will assume the role of senior marketing managers responsible for the design, implementation, and evaluation of branding strategies. Brands represent valuable assets that must be created, sustained, leveraged, and defended. This course will use case analysis and a group project to reinforce successful decision making and communication skills. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","Completion of 9.0 credits; RSM251H1/RSM350H1/(RSM250H1, RSM392H1)",
RSM459H1 - Business Design,"What are the principles and practices that drive innovation in organizations? Create breakthrough solutions and businesses? This course teaches students how to identify customer needs, prototype new solutions and design business strategies to create competitive advantage. Students will apply the learning in real time and on real world challenges.",RSM250H1,
RSM461H1 - Managerial Negotiations,"Students learn to recognize, understand, analyze, and practice essential concepts in negotiations required for understanding more complex relations within and between organizations. The main objective is to learn how to analyze the critical factors of a negotiation situation and then to be able to prescribe a course of action. A fee of $50 will be charged to your student account for role play materials. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM260H1,
RSM462H1 - Managing People in the Context of Globalization,This course introduces students to the impact of globalization on managing people. Understanding how organizational behaviour and human resource management processes work in the international context is essential for business success. This course helps students to develop a better understanding of how effective people management can create a competitive advantage in the international context. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Completion of 9.0 credits; RSM260H1,RSM410H1
RSM463H1 - The Socially Intelligent Manager,One of the most critical skills in leadership is the ability to manage social relationships. The purpose of this course is to introduce you to the science of social intelligence so that you are knowledgeable and confident about how to handle interpersonal issues when you enter the business world. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Completion of 9.0 credits; RSM260H1,RSM412H1
RSM464H1 - Organization Theory and Its Applications,"Organization theory is an evidence-based approach that allows managers to analyze and design organizations more effectively. Focusing on organizations as social systems, the course emphasizes practical implications in topics that are essential to business success, including strategy implementation, organizational structure and culture, change management, globalization, and the organizational sources of enduring competitive advantage. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM260H1,
RSM465H1 - Understanding Motivation and Incentives: Theory and Practice,"This course is designed to introduce you to the fundamental principles of incentives and motivation, which are essential tools for managers. The course takes an interdisciplinary approach and you will be exposed to theories on these topics from a variety of different disciplines – behavioral decision-making, economics, organizational behavior, and psychology. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM260H1,
RSM466H1 - Environmental and Social Responsibility,"This course examines how corporations engage in the social economy through corporate social responsibility work and how corporations are increasingly ""going green."" It will cover current thinking and practice on corporate social responsiblity and emphasize sustainability in business practices while allowing students to give voice to their own values.",Completion of 9.0 credits,
RSM470H1 - Management Science Modeling with Spreadsheets,"The course presents quantitative methods of modeling business and other systems in order to objectively evaluate available alternatives and select the ‘best’ one with respect to pre-defined criteria. Topics include: Decision Analysis, Linear Programming, Integer Programming, Network Methods, Simulation and Waiting Line Models. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","Completion of 9.0 credits; ECO220Y1/ECO227Y1/(STA220H1,STA255H1)/(STA237H1, STA238H1)/(STA257H1,STA261H1)",
RSM480H1 - Business in a Global Economy,"Application of the analytic framework of international trade, foreign investment and exchange rate economics to management of business. Special topics include the industrial effects of trade liberalization, the role of the World Trade Organization, foreign exchange risk management, competition policy and international taxation. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM333H1,
RSM481H1 - Outsourcing and the Organization of Firms,"Explores the issue of outsourcing, broadly defined: which activities should a firm do “in house” and which should it take outside? Using a combination of cases and economic analysis, it develops a framework for determining the “best” organizational structure. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM482H1 - Game Theory for Business Strategy,"Applies game-theoretic reasoning to analyze business strategy problems, focusing specifically on pricing, advertising, product positioning, product introduction, and relationships with upstream and downstream firms. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",ECO204Y1/ECO206Y1,
RSM483H1 - Real Estate Markets,"This course uses economic methods to analyze real estate markets. Topics covered include the determinants of real estate values, the location decisions of households and firms, land use, urban growth and agglomeration, behavioural real estate economics and real options. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1), RSM332H1",
RSM484H1 - Real Estate Finance and Investment,"Real estate assets account for about one-third of the value of all capital assets in the world. This course provides an understanding of real estate investment, valuation and liabilities along with the public policy associated with home ownership, using modern finance and economic tools. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1), RSM332H1",RSM380H1
RSM490H1 - International Strategy,"Focuses on developing an understanding of the fundamentals of doing business in an international environment. Based on the application of management theory (trade theory, modes of entry, foreign direct investment, theory of the multinational) to the strategic management problems of organizing business in the international arena. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM392H1,
RSM491H1 - Global Capital Market Strategy,"This course exposes students to the intersection of global political economy and investment strategies, with particular emphasis on current global economic trends. The last 15 years have seen a dramatic expansion in the geographic scope for private equity investments, and in the risk involved in such investments. RSM491H1 will teach students to think through the issues facing executives, investors and policy makers considering investments. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM332H1,
RSM492H1 - Cooperative Strategy,"Cooperation to create economic value is a central feature of markets: from sophisticated coordination in strategic alliances to simple acts of agreement between buyers and sellers. This course goes beyond Porter's Five Forces to develop a rigorous understanding of the connections between value creation, competition and firm performance. Not eligible for CR/NCR option.",RSM392H1,RSM419H1
RSM493H1 - Entrepreneurship,"Introduces essentials of starting a new business: how to evaluate new opportunities, craft strategy, obtain resources, manage growth, and distribute ownership. Applies concepts from strategic management to challenges facing new/small businesses. Examines the role of entrepreneurs in spurring technological innovation and economic growth, and the effect of government policy on entrepreneurial activity. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM392H1,
RSM494H1 - Technology Strategy,"Teaches about technological evolution and how evolutionary stages impact firms’ strategic choices. Important issues in technological evolution are technological discontinuities, standards wars, dominant designs and patenting. Important strategic decisions concern innovation management, product versus process focus and intellectual property strategies. Project oriented coursework based on patent and business data bases. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM392H1,
RSM495H1 - Management Consulting,This course examines the management consultant's role and how the consulting industry serves to enhance effectiveness of client organizations. Future management advisors will learn skills necessary to support successful consulting business models and how to professionally engage clients to assist in generating competitive advantage through design/implementation of innovative approaches. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM392H1.,RSM416H1
